"source_json","output_stem","split","group_name","shape_index","label_before","label_after","points_before","points_after","moved_paired_points","delta_median_px","delta_p95_px","delta_max_px"
"Mixed/All mixed/0 NTU/015.json","Mixed_All_mixed_0_NTU_015","train","Mixed/All mixed/0 NTU","4","metal_submarine","metal_submarine","45","45","7","74.673","112.41","124.492"
"Mixed/All mixed/0 NTU/016.json","Mixed_All_mixed_0_NTU_016","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","45","45","6","97.78","117.86","124.092"
"Mixed/All mixed/0 NTU/017.json","Mixed_All_mixed_0_NTU_017","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","45","45","5","47.526","69.082","88.263"
"Mixed/All mixed/0 NTU/018.json","Mixed_All_mixed_0_NTU_018","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","42","42","5","57.594","73.798","102.191"
"Mixed/All mixed/0 NTU/019.json","Mixed_All_mixed_0_NTU_019","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","39","39","4","41.505","44.851","64.735"
"Mixed/All mixed/0 NTU/020.json","Mixed_All_mixed_0_NTU_020","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","44","44","3","47.466","47.466","63.819"
"Mixed/All mixed/0 NTU/021.json","Mixed_All_mixed_0_NTU_021","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","41","41","5","62.307","107.892","126.589"
"Mixed/All mixed/0 NTU/022.json","Mixed_All_mixed_0_NTU_022","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","38","38","4","46.181","50.567","62.547"
"Mixed/All mixed/0 NTU/023.json","Mixed_All_mixed_0_NTU_023","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","40","40","4","47.231","71.366","95.199"
"Mixed/All mixed/0 NTU/024.json","Mixed_All_mixed_0_NTU_024","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","44","44","6","96.53","112.534","122.713"
"Mixed/All mixed/0 NTU/025.json","Mixed_All_mixed_0_NTU_025","train","Mixed/All mixed/0 NTU","4","metal_submarine","metal_submarine","42","42","5","43.417","55.053","59.875"
"Mixed/All mixed/0 NTU/026.json","Mixed_All_mixed_0_NTU_026","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","35","35","3","33.088","33.088","51.403"
"Mixed/All mixed/0 NTU/027.json","Mixed_All_mixed_0_NTU_027","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","39","39","4","50.575","65.406","98.462"
"Mixed/All mixed/0 NTU/028.json","Mixed_All_mixed_0_NTU_028","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","44","44","5","68.945","73.259","95.272"
"Mixed/All mixed/0 NTU/029.json","Mixed_All_mixed_0_NTU_029","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","36","36","5","51.949","63.911","83.548"
"Mixed/All mixed/0 NTU/030.json","Mixed_All_mixed_0_NTU_030","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","30","30","7","59.952","113.451","138.248"
"Mixed/All mixed/0 NTU/031.json","Mixed_All_mixed_0_NTU_031","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","25","25","3","62.079","62.079","86.92"
"Mixed/All mixed/0 NTU/032.json","Mixed_All_mixed_0_NTU_032","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","29","29","5","69.688","100.705","120.37"
"Mixed/All mixed/0 NTU/033.json","Mixed_All_mixed_0_NTU_033","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","36","36","4","60.361","78.324","92.724"
"Mixed/All mixed/0 NTU/034.json","Mixed_All_mixed_0_NTU_034","train","Mixed/All mixed/0 NTU","2","metal_submarine","metal_submarine","36","36","4","89.907","110.903","113.569"
"Mixed/All mixed/0 NTU/036.json","Mixed_All_mixed_0_NTU_036","train","Mixed/All mixed/0 NTU","1","metal_submarine","metal_submarine","50","50","3","63.73","63.73","90.655"
"Mixed/All mixed/0 NTU/037.json","Mixed_All_mixed_0_NTU_037","train","Mixed/All mixed/0 NTU","1","metal_submarine","metal_submarine","51","51","2","26.497","26.497","76.378"
"Mixed/All mixed/0 NTU/038.json","Mixed_All_mixed_0_NTU_038","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","55","55","4","43.162","47.347","69.455"
"Mixed/All mixed/0 NTU/039.json","Mixed_All_mixed_0_NTU_039","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","54","54","3","43.431","43.431","78.809"
"Mixed/All mixed/0 NTU/040.json","Mixed_All_mixed_0_NTU_040","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","55","55","3","61.62","61.62","116.068"
"Mixed/All mixed/0 NTU/041.json","Mixed_All_mixed_0_NTU_041","train","Mixed/All mixed/0 NTU","3","metal_submarine","metal_submarine","50","50","1","52.545","52.545","52.545"
"Mixed/All mixed/0 NTU/042.json","Mixed_All_mixed_0_NTU_042","train","Mixed/All mixed/0 NTU","4","metal_submarine","metal_submarine","54","54","3","50.208","50.208","100.433"
"Mixed/All mixed/0 NTU/043.json","Mixed_All_mixed_0_NTU_043","train","Mixed/All mixed/0 NTU","4","metal_submarine","metal_submarine","53","53","3","51.68","51.68","53.373"
"Mixed/All mixed/0 NTU/044.json","Mixed_All_mixed_0_NTU_044","train","Mixed/All mixed/0 NTU","4","metal_submarine","metal_submarine","47","47","3","50.339","50.339","63.191"
"Mixed/All mixed/10 NTU/003.json","Mixed_All_mixed_10_NTU_003","train","Mixed/All mixed/10 NTU","2","metal_submarine","metal_submarine","83","83","1","45.549","45.549","45.549"
"Mixed/All mixed/20 NTU/017.json","Mixed_All_mixed_20_NTU_017","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","58","58","1","39.132","39.132","39.132"
"Mixed/All mixed/20 NTU/018.json","Mixed_All_mixed_20_NTU_018","train","Mixed/All mixed/20 NTU","1","metal_submarine","metal_submarine","62","62","3","15.948","15.948","19.792"
"Mixed/All mixed/20 NTU/019.json","Mixed_All_mixed_20_NTU_019","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","49","49","4","36.835","52.413","57.216"
"Mixed/All mixed/20 NTU/020.json","Mixed_All_mixed_20_NTU_020","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","61","61","4","53.71","70.996","95.787"
"Mixed/All mixed/20 NTU/021.json","Mixed_All_mixed_20_NTU_021","train","Mixed/All mixed/20 NTU","3","metal_submarine","metal_submarine","77","77","6","52.038","101.171","111.892"
"Mixed/All mixed/20 NTU/034.json","Mixed_All_mixed_20_NTU_034","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","65","65","4","61.893","82.901","87.69"
"Mixed/All mixed/20 NTU/035.json","Mixed_All_mixed_20_NTU_035","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","49","49","8","85.833","113.118","122.066"
"Mixed/All mixed/20 NTU/036.json","Mixed_All_mixed_20_NTU_036","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","38","38","4","37.297","51.696","76.489"
"Mixed/All mixed/20 NTU/037.json","Mixed_All_mixed_20_NTU_037","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","69","69","4","52.195","70.913","94.782"
"Mixed/All mixed/20 NTU/038.json","Mixed_All_mixed_20_NTU_038","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","79","79","1","11.107","11.107","11.107"
"Mixed/All mixed/20 NTU/039.json","Mixed_All_mixed_20_NTU_039","train","Mixed/All mixed/20 NTU","2","metal_submarine","metal_submarine","42","42","1","43.571","43.571","43.571"
"Mixed/All mixed/20 NTU/042.json","Mixed_All_mixed_20_NTU_042","train","Mixed/All mixed/20 NTU","2","plastic_submarine","plastic_submarine","52","52","8","20.373","53.055","55.657"
"Mixed/All mixed/20 NTU/043.json","Mixed_All_mixed_20_NTU_043","train","Mixed/All mixed/20 NTU","2","plastic_submarine","plastic_submarine","67","67","12","38.207","53.37","58.358"
"Mixed/All mixed/20 NTU/044.json","Mixed_All_mixed_20_NTU_044","train","Mixed/All mixed/20 NTU","3","plastic_submarine","plastic_submarine","95","95","2","2.081","2.081","4.064"
